ProductionDate,Shift,PatternIdentification,StartTime,EndTime,TotalPourStatus,,,,,
25-02-2025,B,"COVER,FRM/#CRB-026,CRB-027,CRB-032",00:22:06,04:44:47,73,,,,,
26-02-2025,A,"COVER,FRM/#CRB-026,CRB-027,CRB-032",13:44:59,14:47:42,41,,,,,
27-02-2025,B,"COVER,FRM/#CRB-028,CRB-030",19:00:24,23:59:03,266,,,,,
28-02-2025,A,"COVER,FRM/#CRB-028,CRB-030",08:38:26,18:59:49,195,,,,,
28-02-2025,B,"COVER,FRM/#CRB-028,CRB-030",00:00:29,00:56:40,34,,,,,
28-02-2025,B,"20 EZ-GRIP MJ ADAPTER/#19EZMJA20""",00:57:28,01:07:55,4,,,,,
28-02-2025,B,FRAME/#RBAD-1996BC ,01:08:46,04:18:32,140,,,,,
28-02-2025,B,COVER/#BRAD1272,04:18:56,04:31:38,14,,,,,
28-02-2025,B,FRAME/#1002,04:32:02,06:45:07,194,,,,,
28-02-2025,B,"COVER,FRM/#CRB-029,CRB-031",21:14:29,22:29:26,40,,,,,
28-02-2025,B,"COVER,FRM/#CRB-028,CRB-030",22:30:02,23:59:31,86,,,,,
01-03-2025,A,FRAME/#1002,08:07:42,08:47:23,24,,,,, 
01-03-2025,A,COVER/#BRAD1272,08:47:48,10:39:26,106,,,,,
01-03-2025,A,"COVER,FRM/#CRB-028,CRB-030",10:39:51,18:45:10,424,,,,,
01-03-2025,A,"COVER,FRM/#CRB-029,CRB-031",18:47:40,18:50:49,0,,,,,
01-03-2025,B,"COVER,FRM/#CRB-028,CRB-030",00:00:07,01:35:15,87,,,,,
01-03-2025,B,"COVER,FRM/#CRB-026,CRB-027,CRB-032",01:35:49,04:58:13,126,,,,,
01-03-2025,B, N2314 (ADV CI 3024R)/#N2314 (ADV-CI- 3024R),04:59:22,06:11:53,61,,,,,
